text,id,primary_topic,secondary_topic,doc_id,processed_text,topic,Topic_Label
patterns analysis regarding analysis analysis detection detection specifically patterns learning learning,doc_132,Financial Technology,None,doc_131,pattern analysis analysis analysis detection detection specifically pattern learn learn,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
clinical evidence and prediction support clinical decision about evidence algorithms clinical evidence also patient data algorithms data specifically,doc_133,Healthcare Analytics,Data Science,doc_132,clinical evidence prediction support clinical decision evidence algorithm clinical evidence patient data algorithm datum specifically,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
evidence systems related to decision evidence clinical systems,doc_134,Healthcare Analytics,None,doc_133,evidence system relate decision evidence clinical system,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
payments technology also digital blockchain banking fintech related to innovation,doc_135,Financial Technology,None,doc_134,payment technology digital blockchain banking fintech relate innovation,Topic_5,"Financial & Fintech & Technology (digital, banking)"
intelligence artificial and learning algorithms algorithms deep in terms of algorithms learning algorithms learning including networks,doc_136,AI Technology,None,doc_135,intelligence artificial learn algorithm algorithm deep term algorithm learn algorithm learning include network,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
healthcare patient data and prevention readmission healthcare data analysis concerning analytics patient data prevention,doc_137,Healthcare Analytics,Data Science,doc_136,healthcare patient datum prevention readmission healthcare datum analysis concern analytic patient datum prevention,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
banking models with digital data analysis models algorithms,doc_138,Financial Technology,Data Science,doc_137,banking model digital datum analysis model algorithm,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
analysis trading including trading prediction algorithmic market for risk risk prediction market,doc_139,Financial Technology,None,doc_138,analysis trading include trading prediction algorithmic market risk risk prediction market,Topic_10,"Financial & Analysis & Prediction (market, financial)"
smart forecasting and analysis smart grid consumption regarding consumption models models optimization about forecasting optimization models optimization,doc_140,Sustainable Energy,None,doc_139,smart forecasting analysis smart grid consumption consumption model model optimization forecast optimization model optimization,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
efficiency generation in terms of energy hydroelectric wind,doc_141,Sustainable Energy,None,doc_140,efficiency generation term energy hydroelectric wind,Topic_3,"Energy & Efficiency & Hydroelectric (generation, energy)"
reduction reduction specifically climate impact reduction monitoring regarding carbon data impact carbon related to analysis,doc_142,Sustainable Energy,None,doc_141,reduction reduction specifically climate impact reduction monitoring carbon datum impact carbon relate analysis,Topic_11,"Energy & Impact & Carbon (datum, emission)"
batteries efficiency for efficiency capacity technology capacity for efficiency technology energy batteries,doc_143,Sustainable Energy,None,doc_142,battery efficiency efficiency capacity technology capacity efficiency technology energy battery,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
visualization matplotlib also visualization python pandas pandas concerning matplotlib python,doc_144,Data Science,None,doc_143,visualization matplotlib visualization python panda panda concern matplotlib python,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
classification regression including computer vision models prediction also classification classification machine learning including regression prediction regression regression,doc_145,AI Technology,None,doc_144,classification regression include computer vision model prediction classification classification machine learning include regression prediction regression regression,Topic_12,"AI & Classification & Prediction (regression, machine)"
renewable hydroelectric concerning power hydroelectric efficiency wind related to solar generation generation hydroelectric specifically generation,doc_146,Sustainable Energy,None,doc_145,renewable hydroelectric concern power hydroelectric efficiency wind relate solar generation generation hydroelectric specifically generation,Topic_3,"Energy & Efficiency & Hydroelectric (generation, energy)"
classification machine specifically predictive classification algorithms algorithms concerning learning modeling classification modeling related to predictive modeling,doc_147,Data Science,None,doc_146,classification machine specifically predictive classification algorithms algorithm concern learn model classification modeling relate predictive modeling,Topic_12,"AI & Classification & Prediction (regression, machine)"
treatment metrics including medical effectiveness analysis data in terms of outcomes effectiveness outcomes patient with patient analysis,doc_148,Healthcare Analytics,None,doc_147,treatment metric include medical effectiveness analysis datum term outcome effectiveness outcome patient patient analysis,Topic_16,"Healthcare & Patient & Effectiveness (treatment, outcome)"
data analysis data analysis also correlation algorithms prediction data in terms of regression algorithms analysis correlation with,doc_149,Data Science,Financial Technology,doc_148,datum analysis datum analysis correlation algorithm prediction datum term regression algorithm analysis correlation,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
prediction predictive also predictive learning accuracy machine learning also prediction algorithms machine prediction,doc_150,Data Science,AI Technology,doc_149,prediction predictive predictive learn accuracy machine learning prediction algorithm machine prediction,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
big streaming also streaming streaming big spark also,doc_151,Data Science,None,doc_150,big streaming stream stream big spark,Topic_2,"Datum & Computation (big, spark)"
batteries batteries in terms of capacity prediction storage prediction,doc_152,Sustainable Energy,AI Technology,doc_151,battery battery term capacity prediction storage prediction,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
diagnosis medical and detection analysis detection,doc_153,Healthcare Analytics,None,doc_152,diagnosis medical detection analysis detection,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
tokens tokens in terms of text language transformers language including language text processing bert also natural generation text processing,doc_154,AI Technology,None,doc_153,tokens tokens term text language transformer language include language text processing bert natural generation text processing,Topic_0,"Language & Generation (token, natural)"
analysis machine for detection learning machine learning in terms of machine detection data financial for detection data,doc_155,Financial Technology,None,doc_154,analysis machine detection learn machine learn term machine detection datum financial detection datum,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
effectiveness outcomes also patient treatment,doc_156,Healthcare Analytics,None,doc_155,effectiveness outcome patient treatment,Topic_16,"Healthcare & Patient & Effectiveness (treatment, outcome)"
support clinical in terms of algorithms support evidence support for clinical patient outcomes,doc_157,Healthcare Analytics,Data Science,doc_156,support clinical term algorithm support evidence support clinical patient outcome,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
machine computer specifically models learning machine computer,doc_158,AI Technology,None,doc_157,machine computer specifically model learn machine computer,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
forecasting training related to models learning algorithms data and intelligence algorithms data prediction with prediction forecasting networks data including learning forecasting training,doc_159,AI Technology,Sustainable Energy,doc_158,forecasting training relate model learn algorithm datum intelligence algorithm datum prediction prediction forecasting network datum include learn forecasting training,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
text processing and tokens language processing bert related to language tokens language language in terms of language tokens generation,doc_160,AI Technology,None,doc_159,text processing token language processing bert relate language token language language term language token generation,Topic_0,"Language & Generation (token, natural)"
prevention prevention regarding hospital hospital healthcare,doc_161,Healthcare Analytics,None,doc_160,prevention prevention hospital hospital healthcare,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
market market also trading analysis prediction market for trading financial prediction algorithmic specifically prediction models,doc_162,Financial Technology,None,doc_161,market market trade analysis prediction market trade financial prediction algorithmic specifically prediction model,Topic_10,"Financial & Analysis & Prediction (market, financial)"
prediction machine with deep learning learning learning regression specifically deep learning medical imaging diagnosis models and regression deep learning classification,doc_163,AI Technology,Healthcare Analytics,doc_162,prediction machine deep learning learning learn regression specifically deep learn medical imaging diagnosis model regression deep learning classification,Topic_9,"AI & Medical & Detection (imaging, deep)"
fraud machine and fraud fraud patterns data also,doc_164,Financial Technology,None,doc_163,fraud machine fraud fraud pattern datum,Topic_13,"Financial & Fraud & Detection (financial, datum)"
patient algorithms also clinical systems algorithms support for systems clinical clinical,doc_165,Healthcare Analytics,None,doc_164,patient algorithm clinical system algorithm support system clinical clinical,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
neural data about learning algorithms learning data in terms of intelligence training,doc_166,AI Technology,None,doc_165,neural datum learn algorithm learn datum term intelligence training,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
learning modeling regarding classification classification classification predictive related to predictive algorithms modeling accuracy concerning modeling,doc_167,Data Science,None,doc_166,learn modeling classification classification classification predictive relate predictive algorithm modeling accuracy concern modeling,Topic_12,"AI & Classification & Prediction (regression, machine)"
fintech digital about banking innovation banking fintech about digital blockchain blockchain,doc_168,Financial Technology,None,doc_167,fintech digital banking innovation banking fintech digital blockchain blockchain,Topic_5,"Financial & Fintech & Technology (digital, banking)"
wind hydroelectric for generation hydroelectric energy efficiency with efficiency efficiency generation,doc_169,Sustainable Energy,None,doc_168,wind hydroelectric generation hydroelectric energy efficiency efficiency efficiency generation,Topic_3,"Energy & Efficiency & Hydroelectric (generation, energy)"
big spark concerning computation computation pipelines processing in terms of data,doc_170,Data Science,None,doc_169,big spark concern computation computation pipeline processing term datum,Topic_2,"Datum & Computation (big, spark)"
optimization smart including forecasting data analysis forecasting in terms of grid,doc_171,Sustainable Energy,AI Technology,doc_170,optimization smart include forecast datum analysis forecasting term grid,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
outcomes metrics and patient patient effectiveness outcomes concerning analysis data medical prediction and analysis,doc_172,Healthcare Analytics,AI Technology,doc_171,outcomes metric patient patient effectiveness outcome concern analysis data medical prediction analysis,Topic_16,"Healthcare & Patient & Effectiveness (treatment, outcome)"
deep detection related to medical detection analysis imaging and diagnosis,doc_173,Healthcare Analytics,None,doc_172,deep detection relate medical detection analysis imaging diagnosis,Topic_9,"AI & Medical & Detection (imaging, deep)"
storage technology and technology storage efficiency efficiency concerning batteries efficiency energy technology regarding batteries capacity,doc_174,Sustainable Energy,None,doc_173,storage technology technology storage efficiency efficiency concern battery efficiency energy technology battery capacity,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
treatment analysis regarding effectiveness patient outcomes metrics including treatment effectiveness treatment medical also outcomes data treatment,doc_175,Healthcare Analytics,None,doc_174,treatment analysis effectiveness patient outcome metric include treatment effectiveness treatment medical outcome datum treatment,Topic_16,"Healthcare & Patient & Effectiveness (treatment, outcome)"
algorithmic algorithmic specifically models financial risk,doc_176,Financial Technology,None,doc_175,algorithmic algorithmic specifically model financial risk,Topic_10,"Financial & Analysis & Prediction (market, financial)"
solar wind with energy power hydroelectric wind,doc_177,Sustainable Energy,None,doc_176,solar wind energy power hydroelectric wind,Topic_3,"Energy & Efficiency & Hydroelectric (generation, energy)"
classification computer related to classification regression prediction vision and,doc_178,AI Technology,None,doc_177,classification computer relate classification regression prediction vision,Topic_12,"AI & Classification & Prediction (regression, machine)"
statistics prediction also machine learning data regression insights concerning insights,doc_179,Data Science,AI Technology,doc_178,statistic prediction machine learn datum regression insight concern insight,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
data analysis visualization for analysis insights insights regression also analysis statistics statistics visualization with prediction outcomes visualization,doc_180,Data Science,Healthcare Analytics,doc_179,datum analysis visualization analysis insight insight regression analysis statistic statistic visualization prediction outcome visualization,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
banking technology for digital models technology data analysis about algorithms data analysis payments,doc_181,Financial Technology,Data Science,doc_180,banking technology digital model technology datum analysis algorithm datum analysis payment,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
algorithms machine learning with data networks algorithms intelligence including prediction learning neural data for data prediction,doc_182,AI Technology,Data Science,doc_181,algorithms machine learn data network algorithm intelligence include prediction learn neural datum datum prediction,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
optimization rewards also learning optimization reinforcement agents related to environments learning policy optimization and optimization machine learning agents agents about,doc_183,AI Technology,Data Science,doc_182,optimization reward learn optimization reinforcement agent relate environment learn policy optimization optimization machine learn agent agent,Topic_7,"Optimization & Policy (reinforcement, reward)"
medical deep about learning medical deep medical about learning deep analysis medical concerning,doc_184,Healthcare Analytics,None,doc_183,medical deep learn medical deep medical learn deep analysis medical concern,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
outcomes effectiveness also outcomes patient,doc_185,Healthcare Analytics,None,doc_184,outcomes effectiveness outcome patient,Topic_16,"Healthcare & Patient & Effectiveness (treatment, outcome)"
analytics care about care care prevention readmission about hospital hospital analytics prevention regarding,doc_186,Healthcare Analytics,None,doc_185,analytic care care care prevention readmission hospital hospital analytic prevention,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
cryptocurrency distributed also ledger smart smart blockchain,doc_187,Financial Technology,None,doc_186,cryptocurrency distribute ledger smart smart blockchain,Topic_4,"Transaction & Distribute (smart, blockchain)"
analysis data with analysis data insights statistics,doc_188,Data Science,None,doc_187,analysis datum analysis data insight statistic,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
support systems also data support patient support including data clinical support patient,doc_189,Healthcare Analytics,None,doc_188,support system data support patient support include data clinical support patient,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
distributed blockchain in terms of blockchain distributed,doc_190,Financial Technology,None,doc_189,distribute blockchain term blockchain distribute,Topic_4,"Transaction & Distribute (smart, blockchain)"
grid forecasting also grid optimization,doc_191,Sustainable Energy,None,doc_190,grid forecasting grid optimization,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
processing computation and big data data computation,doc_192,Data Science,None,doc_191,processing computation big data datum computation,Topic_2,"Datum & Computation (big, spark)"
vision prediction and prediction learning learning learning,doc_193,AI Technology,None,doc_192,vision prediction prediction learning learning learn,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
generation language related to generation language tokens generation specifically bert generation,doc_194,AI Technology,None,doc_193,generation language relate generation language token generation specifically bert generation,Topic_0,"Language & Generation (token, natural)"
neural training specifically data learning artificial intelligence concerning intelligence learning data learning related to,doc_195,AI Technology,None,doc_194,neural training specifically datum learn artificial intelligence concern intelligence learn datum learning relate,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
hydroelectric power including power hydroelectric efficiency hydroelectric and wind wind generation wind,doc_196,Sustainable Energy,None,doc_195,hydroelectric power include power hydroelectric efficiency hydroelectric wind wind generation wind,Topic_3,"Energy & Efficiency & Hydroelectric (generation, energy)"
algorithms data regarding patient decision,doc_197,Healthcare Analytics,None,doc_196,algorithms datum patient decision,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
fintech algorithms related to fintech fintech fintech banking related to technology payments models,doc_198,Financial Technology,Data Science,doc_197,fintech algorithm relate fintech fintech fintech banking relate technology payment model,Topic_5,"Financial & Fintech & Technology (digital, banking)"
science visualization about pandas projects pandas,doc_199,Data Science,None,doc_198,science visualization panda project panda,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
models analysis regarding smart analysis models consumption about,doc_200,Sustainable Energy,None,doc_199,model analysis smart analysis model consumption,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
streaming spark also big machine learning big models about processing big pipelines hadoop for streaming spark computation data regarding,doc_201,Data Science,AI Technology,doc_200,streaming spark big machine learn big model process big pipeline hadoop stream spark computation datum,Topic_2,"Datum & Computation (big, spark)"
spark processing and computation pipelines spark data in terms of,doc_202,Data Science,None,doc_201,spark processing computation pipeline spark datum term,Topic_2,"Datum & Computation (big, spark)"
fintech technology concerning blockchain algorithms technology digital concerning prediction prediction payments innovation regarding innovation algorithms blockchain,doc_203,Financial Technology,Data Science,doc_202,fintech technology concern blockchain algorithm technology digital concern prediction prediction payment innovation innovation algorithm blockchain,Topic_5,"Financial & Fintech & Technology (digital, banking)"
patient metrics with patient patient effectiveness effectiveness with analysis,doc_204,Healthcare Analytics,None,doc_203,patient metric patient patient effectiveness effectiveness analysis,Topic_16,"Healthcare & Patient & Effectiveness (treatment, outcome)"
models analysis specifically market risk analysis prediction in terms of,doc_205,Financial Technology,None,doc_204,model analysis specifically market risk analysis prediction term,Topic_10,"Financial & Analysis & Prediction (market, financial)"
visualization models specifically prediction statistics statistics insights related to models models statistics insights also statistics classification regression statistics regarding,doc_206,Data Science,AI Technology,doc_205,visualization model specifically prediction statistic statistic insight relate model model statistic insight statistic classification regression statistic,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
medical analysis also medical deep imaging imaging including learning imaging medical pathology including learning detection detection medical,doc_207,Healthcare Analytics,None,doc_206,medical analysis medical deep imaging imaging include learn image medical pathology include learn detection detection medical,Topic_9,"AI & Medical & Detection (imaging, deep)"
science data regarding matplotlib projects matplotlib python also visualization matplotlib visualization projects and,doc_208,Data Science,None,doc_207,science datum matplotlib project matplotlib python visualization matplotlib visualization project,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
learning algorithms for prediction modeling classification data analysis regarding data analysis learning accuracy accuracy about data analysis data analysis predictive machine with classification,doc_209,Data Science,Healthcare Analytics,doc_208,learn algorithm prediction model classification datum analysis datum analysis learn accuracy accuracy datum analysis datum analysis predictive machine classification,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
smart transactions for distributed smart,doc_210,Financial Technology,None,doc_209,smart transaction distribute smart,Topic_4,"Transaction & Distribute (smart, blockchain)"
distributed smart with cryptocurrency blockchain,doc_211,Financial Technology,None,doc_210,distribute smart cryptocurrency blockchain,Topic_4,"Transaction & Distribute (smart, blockchain)"
trading market for analysis financial market trading related to prediction analysis analysis financial about prediction risk risk,doc_212,Financial Technology,None,doc_211,trading market analysis financial market trading relate prediction analysis analysis financial prediction risk risk,Topic_10,"Financial & Analysis & Prediction (market, financial)"
power hydroelectric concerning generation power energy renewable,doc_213,Sustainable Energy,None,doc_212,power hydroelectric concern generation power energy renewable,Topic_3,"Energy & Efficiency & Hydroelectric (generation, energy)"
learning models including classification models classification prediction concerning regression computer prediction vision also computer prediction learning,doc_214,AI Technology,None,doc_213,learn model include classification model classification prediction concern regression computer prediction vision computer prediction learn,Topic_12,"AI & Classification & Prediction (regression, machine)"
data matplotlib in terms of data numpy,doc_215,Data Science,None,doc_214,datum matplotlib term datum numpy,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
readmission analytics also prediction analytics prediction analytics related to prevention prevention prediction prevention concerning hospital hospital,doc_216,Healthcare Analytics,None,doc_215,readmission analytic prediction analytic prediction analytic relate prevention prevention prediction prevention concern hospital hospital,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
optimization optimization for forecasting rewards reinforcement reinforcement regarding agents environments forecasting optimization in terms of,doc_217,AI Technology,Sustainable Energy,doc_216,optimization optimization forecast reward reinforcement reinforcement agent environment forecast optimization term,Topic_7,"Optimization & Policy (reinforcement, reward)"
algorithms outcomes for outcomes outcomes data analysis prediction related to data evidence algorithms evidence with,doc_218,Healthcare Analytics,Data Science,doc_217,algorithm outcome outcome outcomes datum analysis prediction relate datum evidence algorithm evidence,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
algorithmic financial concerning models models financial models in terms of market financial models,doc_219,Financial Technology,None,doc_218,algorithmic financial concern model model financial model term market financial model,Topic_10,"Financial & Analysis & Prediction (market, financial)"
batteries batteries for storage storage optimization capacity with energy,doc_220,Sustainable Energy,AI Technology,doc_219,battery battery storage storage optimization capacity energy,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
imaging analysis also pathology analysis diagnosis learning including analysis medical imaging medical and pathology,doc_221,Healthcare Analytics,None,doc_220,image analysis pathology analysis diagnosis learning include analysis medical imaging medical pathology,Topic_9,"AI & Medical & Detection (imaging, deep)"
innovation storage regarding technology innovation,doc_222,Sustainable Energy,None,doc_221,innovation storage technology innovation,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
policy rewards specifically environments optimization rewards environments concerning rewards rewards reinforcement optimization including policy,doc_223,AI Technology,None,doc_222,policy reward specifically environment optimization reward environment concern reward reward reinforcement optimization include policy,Topic_7,"Optimization & Policy (reinforcement, reward)"
cryptocurrency transactions with blockchain ledger algorithms transactions for ledger cryptocurrency,doc_224,Financial Technology,Data Science,doc_223,cryptocurrency transaction blockchain ledger algorithm transaction ledger cryptocurrency,Topic_4,"Transaction & Distribute (smart, blockchain)"
learning prediction also vision computer prediction regression in terms of classification prediction,doc_225,AI Technology,None,doc_224,learn prediction vision computer prediction regression term classification prediction,Topic_12,"AI & Classification & Prediction (regression, machine)"
decision data also patient clinical support data and algorithms data support systems,doc_226,Healthcare Analytics,None,doc_225,decision datum patient clinical support datum algorithm datum support system,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
monitoring emissions for analysis reduction analysis carbon regarding data monitoring climate carbon specifically carbon impact,doc_227,Sustainable Energy,None,doc_226,monitor emission analysis reduction analysis carbon datum monitor climate carbon specifically carbon impact,Topic_11,"Energy & Impact & Carbon (datum, emission)"
medical patient concerning data effectiveness metrics patient also data metrics treatment medical about treatment patient prediction,doc_228,Healthcare Analytics,AI Technology,doc_227,medical patient concern datum effectiveness metric patient data metric treatment medical treatment patient prediction,Topic_16,"Healthcare & Patient & Effectiveness (treatment, outcome)"
medical metrics also metrics medical patient effectiveness regarding outcomes effectiveness treatment,doc_229,Healthcare Analytics,None,doc_228,medical metric metric medical patient effectiveness outcome effectiveness treatment,Topic_16,"Healthcare & Patient & Effectiveness (treatment, outcome)"
data reduction and data impact reduction impact with impact analysis monitoring impact and impact data,doc_230,Sustainable Energy,None,doc_229,data reduction datum impact reduction impact impact analysis monitoring impact impact datum,Topic_11,"Energy & Impact & Carbon (datum, emission)"
models prediction with tokens optimization language prediction also natural transformers,doc_231,AI Technology,Sustainable Energy,doc_230,model prediction tokens optimization language prediction natural transformer,Topic_0,"Language & Generation (token, natural)"
machine predictive related to machine modeling modeling algorithms about predictive,doc_232,Data Science,None,doc_231,machine predictive relate machine modeling modeling algorithm predictive,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
optimization forecasting with analysis data analysis grid in terms of grid optimization models forecasting with,doc_233,Sustainable Energy,None,doc_232,optimization forecast analysis datum analysis grid term grid optimization model forecast,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
detection pathology with pathology learning diagnosis,doc_234,Healthcare Analytics,None,doc_233,detection pathology pathology learn diagnosis,Topic_9,"AI & Medical & Detection (imaging, deep)"
impact monitoring including analysis emissions carbon emissions about reduction impact impact,doc_235,Sustainable Energy,AI Technology,doc_234,impact monitoring include analysis emission carbon emission reduction impact impact,Topic_11,"Energy & Impact & Carbon (datum, emission)"
classification prediction in terms of vision machine machine vision for learning classification vision computer including vision,doc_236,AI Technology,Data Science,doc_235,classification prediction term vision machine machine vision learn classification vision computer include vision,Topic_12,"AI & Classification & Prediction (regression, machine)"
prediction hospital including care healthcare,doc_237,Healthcare Analytics,None,doc_236,prediction hospital include care healthcare,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
healthcare prediction in terms of healthcare care hospital,doc_238,Healthcare Analytics,None,doc_237,healthcare prediction term healthcare care hospital,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
learning predictive related to algorithms accuracy algorithms algorithms specifically predictive machine classification algorithms for learning modeling predictive machine,doc_239,Data Science,AI Technology,doc_238,learn predictive relate algorithms accuracy algorithms algorithm specifically predictive machine classification algorithm learn model predictive machine,Topic_12,"AI & Classification & Prediction (regression, machine)"
risk market in terms of models risk algorithmic trading specifically trading risk analysis risk specifically analysis market,doc_240,Financial Technology,None,doc_239,risk market term model risk algorithmic trading specifically trade risk analysis risk specifically analysis market,Topic_10,"Financial & Analysis & Prediction (market, financial)"
networks neural about deep data artificial learning for intelligence,doc_241,AI Technology,None,doc_240,network neural deep datum artificial learning intelligence,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
hydroelectric solar concerning generation renewable generation efficiency specifically generation hydroelectric solar wind for energy generation energy efficiency,doc_242,Sustainable Energy,None,doc_241,hydroelectric solar concern generation renewable generation efficiency specifically generation hydroelectric solar wind energy generation energy efficiency,Topic_3,"Energy & Efficiency & Hydroelectric (generation, energy)"
insights statistics regarding insights analysis,doc_243,Data Science,None,doc_242,insight statistic insight analysis,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
outcomes metrics also data outcomes outcomes,doc_244,Healthcare Analytics,None,doc_243,outcomes metric data outcome outcome,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
transactions ledger with smart transactions blockchain distributed concerning,doc_245,Financial Technology,None,doc_244,transaction ledger smart transaction blockchain distribute concern,Topic_4,"Transaction & Distribute (smart, blockchain)"
processing bert for language tokens natural text in terms of natural generation tokens text including tokens natural,doc_246,AI Technology,None,doc_245,process bert language token natural text term natural generation token text include token natural,Topic_0,"Language & Generation (token, natural)"
models storage related to forecasting batteries optimization technology regarding batteries storage batteries energy in terms of models models forecasting models also innovation,doc_247,Sustainable Energy,AI Technology,doc_246,model storage relate forecasting battery optimization technology battery storage battery energy term model model forecast model innovation,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
reduction carbon and data monitoring carbon carbon with impact data monitoring emissions about,doc_248,Sustainable Energy,None,doc_247,reduction carbon datum monitor carbon carbon impact datum monitoring emission,Topic_11,"Energy & Impact & Carbon (datum, emission)"
spark data analysis in terms of streaming data analysis big data analysis including processing big processing big specifically processing pipelines prediction,doc_249,Data Science,Financial Technology,doc_248,spark datum analysis term stream datum analysis big datum analysis include process big processing big specifically process pipeline prediction,Topic_2,"Datum & Computation (big, spark)"
prediction analytics regarding analytics prediction prediction hospital with healthcare care prevention healthcare concerning,doc_250,Healthcare Analytics,None,doc_249,prediction analytic analytic prediction prediction hospital healthcare care prevention healthcare concern,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
clinical evidence about support support,doc_251,Healthcare Analytics,None,doc_250,clinical evidence support support,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
machine learning prediction related to environments classification machine learning rewards with prediction machine learning,doc_252,AI Technology,Data Science,doc_251,machine learn prediction relate environment classification machine learn reward prediction machine learning,Topic_7,"Optimization & Policy (reinforcement, reward)"
prediction readmission for healthcare readmission prevention care including readmission prevention healthcare healthcare including,doc_253,Healthcare Analytics,None,doc_252,prediction readmission healthcare readmission prevention care include readmission prevention healthcare healthcare include,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
regression prediction also computer computer classification machine also computer vision regression machine and vision regression,doc_254,AI Technology,None,doc_253,regression prediction computer computer classification machine computer vision regression machine vision regression,Topic_12,"AI & Classification & Prediction (regression, machine)"
technology batteries for technology capacity energy energy about storage efficiency innovation,doc_255,Sustainable Energy,None,doc_254,technology battery technology capacity energy energy storage efficiency innovation,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
data science related to data matplotlib data data concerning projects pandas numpy numpy,doc_256,Data Science,None,doc_255,data science relate datum matplotlib datum datum concern project panda numpy numpy,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
consumption analysis specifically consumption smart optimization models and models analysis forecasting models for grid consumption,doc_257,Sustainable Energy,None,doc_256,consumption analysis specifically consumption smart optimization model model analysis forecasting model grid consumption,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
forecasting optimization for optimization forecasting smart data and optimization models optimization optimization,doc_258,Sustainable Energy,AI Technology,doc_257,forecast optimization optimization forecast smart datum optimization model optimization optimization,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
capacity energy with capacity technology innovation batteries concerning,doc_259,Sustainable Energy,None,doc_258,capacity energy capacity technology innovation battery concern,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
environments optimization in terms of rewards agents,doc_260,AI Technology,None,doc_259,environment optimization term reward agent,Topic_7,"Optimization & Policy (reinforcement, reward)"
patient treatment also analysis outcomes patient effectiveness specifically patient,doc_261,Healthcare Analytics,None,doc_260,patient treatment analysis outcome patient effectiveness specifically patient,Topic_16,"Healthcare & Patient & Effectiveness (treatment, outcome)"
algorithms algorithms specifically predictive algorithms learning learning with machine algorithms learning accuracy including algorithms,doc_262,Data Science,None,doc_261,algorithms algorithm specifically predictive algorithms learning learn machine algorithm learn accuracy include algorithm,Topic_12,"AI & Classification & Prediction (regression, machine)"
classification learning and deep intelligence neural networks with artificial deep neural data specifically neural networks,doc_263,AI Technology,Data Science,doc_262,classification learning deep intelligence neural network artificial deep neural datum specifically neural network,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
algorithms evidence specifically patient decision systems algorithms for decision,doc_264,Healthcare Analytics,Data Science,doc_263,algorithms evidence specifically patient decision system algorithm decision,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
